
---

## 2. `requirements.csv` – Full traceability matrix

Copy the following CSV content into a file named `requirements.csv`. Then open in Excel and save as `.xlsx` if desired.

```csv
ID,Module,Requirement,Priority,Status
FR-CRM-TK-01,CRM - Tickets,Multi-filter list (Number, Date, Title, Contact, Phone, City, Ticket Age, Created By, Assigned To, Status, Tag),High,Approved
FR-CRM-TK-02,CRM - Tickets,Auto-generated number T-XXXXX,High,Approved
FR-CRM-TK-03,CRM - Tickets,Type-ahead for Contact, Project, Tag, Assigned To,Medium,Approved
FR-CRM-TK-04,CRM - Tickets,Drag-and-drop attachments,Low,Approved
FR-CRM-TK-05,CRM - Tickets,Status workflow (Open → In Progress → Resolved → Closed),High,Approved
FR-CRM-LD-01,CRM - Leads,Multi-filter list (Number, Date, Contact, Phone, City, Assigned To, Lead Source, Lead Status, Tags, Projects),High,Approved
FR-CRM-LD-02,CRM - Leads,Auto-number L-XXXXX,High,Approved
FR-CRM-LD-03,CRM - Leads,Convert lead to customer,High,Approved
FR-CRM-EV-01,CRM - Events,Multi-filter list (Number, Subject, Contact, Phone, City, Assigned To, Start Date, End Date, Event Type, Status),High,Approved
FR-CRM-EV-02,CRM - Events,Auto-number EV-XXXXXX,High,Approved
FR-CRM-EV-03,CRM - Events,Date/time validation (End >= Start),High,Approved
FR-CRM-EV-04,CRM - Events,Attachments,Low,Approved
FR-CRM-EV-05,CRM - Events,Calendar view,High,Approved
FR-CRM-CL-01,CRM - Calls,Multi-filter list (Number, Date, Contact, Phone, Assigned To, Call Type, Call Purpose, Status),High,Approved
FR-CRM-CL-02,CRM - Calls,Auto-number C-XXXXX,High,Approved
FR-CRM-CL-03,CRM - Calls,Duration auto-calc from Start/End Time,Medium,Approved
FR-CRM-CL-04,CRM - Calls,Link to Contact/Lead/Customer,High,Approved
FR-CRM-CL-05,CRM - Calls,Follow-up required with date,Medium,Approved
FR-SALES-01,Sales - Navigation,8 sub-modules (Quotation, Order, Delivery, Invoice, Recurring Invoice, Return, Receive Payment, Refund, Settlement),High,Approved
FR-SALES-QT-01,Sales - Quotations,List filters (Number, Date, Customer, Reference, Expiry Date, Gross Amount, Net Amount, Status),High,Approved
FR-SALES-QT-02,Sales - Quotations,Bulk approve selected quotations,Medium,Approved
FR-SALES-QT-03,Sales - Quotations,Export to Excel,Low,Approved
FR-SALES-QT-04,Sales - Quotations,Auto-number SQ-XXXXXX,High,Approved
FR-SALES-QT-05,Sales - Quotations,Line items with product type-ahead, quantity, price, discount, amount auto-calc,High,Approved
FR-SALES-QT-06,Sales - Quotations,Barcode scanning for quick add,High,Approved
FR-SALES-QT-07,Sales - Quotations,Convert to Order or Invoice,High,Approved
FR-SALES-OR-01,Sales - Orders,List filters (Number, Date, Customer, Reference, Delivery Date, Gross Amount, Net Amount, Status),High,Approved
FR-SALES-OR-02,Sales - Orders,Export to Excel,Low,Approved
FR-SALES-OR-03,Sales - Orders,Print functionality,Low,Approved
FR-SALES-OR-04,Sales - Orders,Auto-number SO-XXXXXX,High,Approved
FR-SALES-OR-05,Sales - Orders,Customer mandatory,High,Approved
FR-SALES-OR-06,Sales - Orders,Line items with auto-calc,High,Approved
FR-SALES-OR-07,Sales - Orders,Barcode scanning,High,Approved
FR-SALES-OR-08,Sales - Orders,Attachments support,Low,Approved
FR-SALES-OR-09,Sales - Orders,Internal comments,Medium,Approved
FR-SALES-OR-10,Sales - Orders,Tax calculation,High,Approved
FR-SALES-OR-11,Sales - Orders,Status workflow (Draft → Confirmed → Shipped → Delivered → Invoiced),High,Approved
FR-SALES-OR-12,Sales - Orders,Create from Quotation or direct,High,Approved
FR-SALES-OR-13,Sales - Orders,Delivery Date mandatory,High,Approved
FR-SALES-DL-01,Sales - Deliveries,List filters (Number, Date, Customer, Order, Reference, Warehouse, Status),High,Approved
FR-SALES-DL-02,Sales - Deliveries,Export to Excel,Low,Approved
FR-SALES-DL-03,Sales - Deliveries,Auto-number SD-XXXXXX,High,Approved
FR-SALES-DL-04,Sales - Deliveries,Warehouse selection,High,Approved
FR-SALES-DL-05,Sales - Deliveries,Link to Sales Order,High,Approved
FR-SALES-DL-06,Sales - Deliveries,Pending quantity calculation,High,Approved
FR-SALES-DL-07,Sales - Deliveries,Barcode scanning,High,Approved
FR-SALES-DL-08,Sales - Deliveries,Shipping address,Medium,Approved
FR-SALES-DL-09,Sales - Deliveries,Status workflow (Draft → Shipped → Delivered),High,Approved
FR-SALES-DL-10,Sales - Deliveries,Inventory reduction,High,Approved
FR-SALES-DL-11,Sales - Deliveries,Cannot exceed order quantities,High,Approved
FR-SALES-DL-12,Sales - Deliveries,Direct delivery without order,Medium,Approved
FR-SALES-DL-13,Sales - Deliveries,Auto-invoice option,Medium,Approved
FR-SALES-INV-01,Sales - Invoices,List filters (Number, Date, Customer, Reference, Order, Deliveries, Due Date, Net, Balance, Status),High,Approved
FR-SALES-INV-02,Sales - Invoices,Balance Amount filter,High,Approved
FR-SALES-INV-03,Sales - Invoices,Overdue auto-calculation,High,Approved
FR-SALES-INV-04,Sales - Invoices,Auto-number SI-XXXXXX,High,Approved
FR-SALES-INV-05,Sales - Invoices,Customer mandatory,High,Approved
FR-SALES-INV-06,Sales - Invoices,Due Date based on customer terms,High,Approved
FR-SALES-INV-07,Sales - Invoices,Line items with auto-calc,High,Approved
FR-SALES-INV-08,Sales - Invoices,Gross total calc,High,Approved
FR-SALES-INV-09,Sales - Invoices,Net with discount,High,Approved
FR-SALES-INV-10,Sales - Invoices,Balance Amount tracking,High,Approved
FR-SALES-INV-11,Sales - Invoices,Create from Order/Quotation/Delivery/Direct,High,Approved
FR-SALES-INV-12,Sales - Invoices,Partial invoicing from Orders,High,Approved
FR-SALES-INV-13,Sales - Invoices,Consolidate multiple Deliveries,Medium,Approved
FR-SALES-INV-14,Sales - Invoices,Payment allocation updates status,High,Approved
FR-SALES-INV-15,Sales - Invoices,Overdue auto-flagging,High,Approved
FR-SALES-INV-16,Sales - Invoices,Cannot delete if payments exist,High,Approved
FR-SALES-INV-17,Sales - Invoices,Credit Notes reduce balance,High,Approved
FR-SALES-RI-01,Sales - Recurring Invoices,List filters (Number, Customer, Reference, Frequency, Interval, Start Date, End Date, Next Execution, Last Execute),High,Approved
FR-SALES-RI-02,Sales - Recurring Invoices,Export to Excel,Low,Approved
FR-SALES-RI-03,Sales - Recurring Invoices,Status column (Active, Paused, Completed, Cancelled),High,Approved
FR-SALES-RI-04,Sales - Recurring Invoices,Auto-number RI-XXXXXX,High,Approved
FR-SALES-RI-05,Sales - Recurring Invoices,Customer mandatory,High,Approved
FR-SALES-RI-06,Sales - Recurring Invoices,Frequency options (Daily, Weekly, Monthly, Quarterly, Yearly),High,Approved
FR-SALES-RI-07,Sales - Recurring Invoices,Interval support (e.g., every 2 months),High,Approved
FR-SALES-RI-08,Sales - Recurring Invoices,Start Date validation,High,Approved
FR-SALES-RI-09,Sales - Recurring Invoices,End Date validation,High,Approved
FR-SALES-RI-10,Sales - Recurring Invoices,Line items with auto-calc,High,Approved
FR-SALES-RI-11,Sales - Recurring Invoices,Next Execution auto-calculation,High,Approved
FR-SALES-RI-12,Sales - Recurring Invoices,Auto-create Invoice on execution date,High,Approved
FR-SALES-RI-13,Sales - Recurring Invoices,Link generated invoices to recurring profile,High,Approved
FR-SALES-RI-14,Sales - Recurring Invoices,Update Next Execution after generation,High,Approved
FR-SALES-RI-15,Sales - Recurring Invoices,Stop generation at End Date or Cancellation,High,Approved
FR-SALES-RI-16,Sales - Recurring Invoices,Handle generation failures gracefully,Medium,Approved
FR-SALES-RI-17,Sales - Recurring Invoices,Pause/Resume functionality,High,Approved
FR-SALES-RI-18,Sales - Recurring Invoices,Edit profile after invoice generation,High,Approved
FR-SALES-RET-01,Sales - Returns,List filters (Number, Date, Reference, Customer, Net Amount, Unadjusted Amount, Status),High,Approved
FR-SALES-RET-02,Sales - Returns,Unadjusted Amount filter,High,Approved
FR-SALES-RET-03,Sales - Returns,Print & Export to Excel,Low,Approved
FR-SALES-RET-04,Sales - Returns,Auto-number SR-XXXXXX,High,Approved
FR-SALES-RET-05,Sales - Returns,Customer mandatory,High,Approved
FR-SALES-RET-06,Sales - Returns,Line items with auto-calc,High,Approved
FR-SALES-RET-07,Sales - Returns,Barcode scanning,High,Approved
FR-SALES-RET-08,Sales - Returns,Attachments,Low,Approved
FR-SALES-RET-09,Sales - Returns,Gross total calc,High,Approved
FR-SALES-RET-10,Sales - Returns,Link to original Invoice,High,Approved
FR-SALES-RET-11,Sales - Returns,Apply credit to invoices, refund, or store credit,High,Approved
FR-SALES-RET-12,Sales - Returns,Unadjusted Amount tracking,High,Approved
FR-SALES-RET-13,Sales - Returns,Reduces invoice Balance Amount,High,Approved
